game_id,group_id,resource_type,total_cost,members,usage_weights,shapley_allocations,nucleolus_allocations,equal_split,method_chosen,fairness_score
d70b1a33-451c-4287-85e3-65387bf3b518,group_491,space,14121.28,user_040|user_041|user_043|user_058|user_094|user_096,0.02|0.31|0.13|0.25|0.20|0.08,258.67|4420.51|1888.59|3550.14|2850.33|1153.03,1201.37|3490.38|2097.82|3011.67|2626.78|1693.26,2353.55|2353.55|2353.55|2353.55|2353.55|2353.55,equal,0.81
1bc7b177-fc4a-45c3-8ec1-fc043768d047,group_089,vehicle,14846.67,user_015|user_017|user_027,0.89|0.03|0.08,13233.44|480.95|1132.28,9505.39|2491.52|2849.75,4948.89|4948.89|4948.89,nucleolus,0.893
71dcb3b7-e82d-4fb1-90aa-44f9c09c889d,group_195,vehicle,3053.2,user_014|user_017|user_074|user_093,0.04|0.32|0.39|0.25,113.18|962.38|1203.50|774.14,405.74|872.79|1005.41|769.26,763.30|763.30|763.30|763.30,equal,0.788
28aaa310-0616-486d-b39c-86944704ea83,group_443,subscription,5731.51,user_001|user_036|user_040|user_065|user_082|user_096,0.35|0.09|0.06|0.15|0.03|0.32,1986.80|496.80|371.34|880.95|171.03|1824.58,1522.61|703.10|634.10|914.39|523.93|1433.38,955.25|955.25|955.25|955.25|955.25|955.25,nucleolus,0.952
e121b44f-7772-44c8-97e6-bb6358811ae7,group_416,tool,1131.14,user_038|user_046|user_063|user_081,0.01|0.71|0.24|0.04,14.34|802.03|273.78|41.00,135.14|568.37|277.83|149.80,282.79|282.79|282.79|282.79,shapley,1.0
9f144153-aba3-435b-9c74-70fbbefd564b,group_151,tool,1549.12,user_047|user_093,0.00|1.00,5.06|1544.06,351.33|1197.79,774.56|774.56,equal,0.822
4ca8fb61-93e1-4dc0-9449-4210396ad4ed,group_099,subscription,1276.57,user_010|user_025|user_047|user_054|user_068,0.27|0.29|0.33|0.02|0.10,345.89|368.04|415.83|21.68|125.12,305.13|317.31|343.60|126.82|183.71,255.31|255.31|255.31|255.31|255.31,equal,0.76
a2641ec8-c0e1-40b2-8a7e-40f7cf71a164,group_422,vehicle,8638.2,user_030|user_081|user_099,0.04|0.64|0.32,344.50|5562.64|2731.07,1485.20|4355.18|2797.82,2879.40|2879.40|2879.40,equal,0.737
dd49f190-68af-4a8d-8f8d-fc2746e77173,group_482,vehicle,11603.7,user_036|user_044|user_084,0.48|0.08|0.44,5550.86|907.16|5145.68,4793.53|2239.49|4570.68,3867.90|3867.90|3867.90,shapley,1.0
b820ed6a-b6d4-4642-b371-dd04d342860d,group_220,subscription,19720.0,user_022|user_052|user_082|user_089,0.08|0.27|0.21|0.45,1583.43|5265.33|4085.80|8785.44,3089.39|5114.43|4465.69|7050.49,4930.00|4930.00|4930.00|4930.00,nucleolus,0.835
a14832a9-865a-433c-959f-2b5c89f7e69f,group_258,accommodation,699.61,user_005|user_023|user_044|user_052|user_063|user_076|user_084|user_096,0.09|0.02|0.17|0.20|0.12|0.21|0.10|0.10,62.41|12.44|121.98|139.68|80.46|143.93|66.48|72.23,73.68|46.19|106.44|116.18|83.60|118.51|75.92|79.08,87.45|87.45|87.45|87.45|87.45|87.45|87.45|87.45,equal,0.738
67f1a420-4653-4116-bde3-2e8534a66ac5,group_109,subscription,4446.47,user_035|user_036|user_064|user_075|user_092|user_093|user_098|user_099,0.11|0.00|0.02|0.01|0.19|0.07|0.14|0.46,476.02|21.97|97.43|27.25|863.38|322.06|606.26|2032.10,511.93|262.20|303.70|265.10|724.97|427.25|583.56|1367.77,555.81|555.81|555.81|555.81|555.81|555.81|555.81|555.81,shapley,1.0
53fe4a9c-4b95-46c0-9cfe-ceb7892109d5,group_439,vehicle,8670.3,user_023|user_063|user_078|user_092|user_096,0.11|0.21|0.55|0.10|0.03,969.74|1786.64|4764.35|878.65|270.91,1313.69|1762.98|3400.72|1263.59|929.33,1734.06|1734.06|1734.06|1734.06|1734.06,nucleolus,0.954
eeac5fb6-98a0-4983-ae5d-8e3161fe1e60,group_027,subscription,14771.95,user_049|user_055|user_071,0.11|0.06|0.84,1592.89|818.50|12360.56,3091.88|2665.97|9014.10,4923.98|4923.98|4923.98,equal,0.848
0cd49707-65d1-404b-a576-a5fa84c80695,group_435,vehicle,10302.79,user_018|user_055|user_057|user_066,0.26|0.16|0.32|0.26,2685.36|1632.30|3337.04|2648.08,2636.01|2056.83|2994.44|2615.51,2575.70|2575.70|2575.70|2575.70,equal,0.939
a6bd634b-f459-43ea-b783-7d38432294e0,group_093,subscription,11373.37,user_028|user_037|user_092,0.06|0.69|0.24,731.09|7898.08|2744.20,2108.10|6049.95|3215.32,3791.12|3791.12|3791.12,equal,0.857
6a9889c2-fe52-481c-8a48-4f816d496699,group_155,accommodation,9090.73,user_003|user_055|user_068|user_074,0.37|0.51|0.09|0.03,3395.12|4666.52|788.79|240.29,2890.03|3589.29|1456.54|1154.87,2272.68|2272.68|2272.68|2272.68,shapley,1.0
89768734-c932-4ef5-bcbb-a6533b1db913,group_024,tool,4634.07,user_019|user_021|user_043|user_058|user_092,0.06|0.12|0.38|0.44|0.00,266.52|573.92|1755.41|2031.03|7.19,563.65|732.72|1382.54|1534.13|421.02,926.81|926.81|926.81|926.81|926.81,nucleolus,0.742
b2245d5b-f043-4d0d-a8e9-43fea81159c3,group_472,vehicle,16682.74,user_028|user_036|user_053|user_077|user_097|user_099,0.15|0.11|0.05|0.03|0.08|0.58,2429.42|1836.05|853.56|433.91|1399.82|9729.97,2587.39|2261.04|1720.66|1489.85|2021.11|6602.69,2780.46|2780.46|2780.46|2780.46|2780.46|2780.46,shapley,1.0
8396873c-49ad-4d93-af8c-8826aa14c6fb,group_414,subscription,612.11,user_017|user_020|user_024|user_034,0.14|0.26|0.44|0.16,85.71|160.60|266.56|99.24,116.00|157.19|215.47|123.44,153.03|153.03|153.03|153.03,equal,0.846
f9fdc47f-0813-4b32-9544-14acfb8021a2,group_189,space,2218.33,user_025|user_030|user_034|user_073|user_094,0.44|0.40|0.04|0.08|0.04,966.90|889.45|78.61|186.36|97.00,731.45|688.85|242.88|302.15|253.00,443.67|443.67|443.67|443.67|443.67,nucleolus,0.833
31e0663c-ef4f-444f-bb99-08dbf732ac10,group_277,subscription,13529.5,user_021|user_026|user_062|user_086,0.17|0.02|0.47|0.35,2254.53|252.75|6324.73|4697.49,2762.06|1661.08|5000.67|4105.69,3382.38|3382.38|3382.38|3382.38,equal,0.943
0fe06cdd-f99b-4b3a-9044-b36d213da1bb,group_325,space,8733.28,user_015|user_029|user_059|user_100,0.02|0.11|0.79|0.09,151.72|937.65|6857.74|786.18,1065.94|1498.20|4754.25|1414.89,2183.32|2183.32|2183.32|2183.32,equal,0.846
eddee03b-4ea8-4869-b3fd-57c80cd69c2e,group_237,tool,7402.78,user_054|user_076|user_083,0.03|0.13|0.84,228.43|981.04|6193.31,1236.05|1649.99|4516.74,2467.59|2467.59|2467.59,nucleolus,0.762
1ceb073f-09ac-48de-b432-98b697bed1b0,group_178,space,19807.04,user_019|user_020|user_022,0.10|0.39|0.51,1942.34|7815.45|10049.25,4039.34|7269.55|8498.14,6602.35|6602.35|6602.35,shapley,1.0
ba09f0e7-3068-4707-bbf4-90bc3036f8aa,group_051,vehicle,7425.28,user_067|user_070|user_100,0.13|0.64|0.23,991.20|4759.05|1675.02,1658.95|3731.27|2035.05,2475.09|2475.09|2475.09,nucleolus,0.911
afd1e63d-40dd-4c80-b20c-f0de7d8cb632,group_182,tool,18114.12,user_022|user_032|user_055|user_070|user_072,0.21|0.21|0.16|0.02|0.39,3880.78|3893.71|2976.55|367.05|6996.02,3764.70|3771.81|3267.38|1832.15|5478.08,3622.82|3622.82|3622.82|3622.82|3622.82,shapley,1.0
c4d1e359-8345-42fe-b997-c38f0015aa5f,group_471,space,10736.33,user_016|user_017|user_037|user_049|user_051|user_063|user_096|user_098,0.11|0.06|0.01|0.24|0.31|0.00|0.20|0.07,1137.26|606.93|122.40|2627.80|3327.76|49.18|2109.91|755.09,1229.41|937.73|671.24|2049.21|2434.19|630.97|1764.37|1019.22,1342.04|1342.04|1342.04|1342.04|1342.04|1342.04|1342.04|1342.04,nucleolus,0.911
6c96ac44-6d6b-4c8f-b7c6-d825fe301d41,group_291,tool,3001.6,user_020|user_051|user_057|user_071|user_082|user_084|user_097,0.17|0.03|0.19|0.08|0.44|0.02|0.07,500.30|92.52|566.98|236.10|1332.85|71.44|201.42,468.13|243.84|504.80|322.81|926.03|232.25|303.74,428.80|428.80|428.80|428.80|428.80|428.80|428.80,nucleolus,0.895
f576f23d-52ba-49cf-b36a-ff5087545aeb,group_372,accommodation,11803.5,user_009|user_036|user_051|user_085|user_098,0.02|0.42|0.34|0.05|0.17,229.97|4937.85|4006.38|569.60|2059.70,1188.80|3778.13|3265.82|1375.60|2195.15,2360.70|2360.70|2360.70|2360.70|2360.70,nucleolus,0.764
41bbc8bc-dd6b-4ead-b229-65b65225af92,group_048,vehicle,6455.02,user_002|user_003|user_010|user_018|user_083|user_093,0.29|0.14|0.13|0.05|0.02|0.38,1855.07|884.30|823.33|302.23|106.67|2483.41,1504.42|970.49|936.96|650.35|542.80|1850.00,1075.84|1075.84|1075.84|1075.84|1075.84|1075.84,shapley,1.0
609f2424-ded1-40c7-9823-a9cdfc44f988,group_185,accommodation,12660.72,user_032|user_042|user_043|user_044|user_059|user_077,0.30|0.13|0.05|0.06|0.17|0.29,3782.29|1644.02|678.89|704.34|2122.46|3728.71,3029.81|1853.77|1322.94|1336.94|2116.91|3000.35,2110.12|2110.12|2110.12|2110.12|2110.12|2110.12,equal,0.84
f04054f0-7c2f-4d07-bc34-7a2f96871ae9,group_411,space,9609.73,user_037|user_055,0.59|0.41,5673.02|3936.71,5282.35|4327.38,4804.86|4804.86,nucleolus,0.766
17853568-f6a5-48a9-aa76-ccb29c46ac40,group_006,subscription,10751.87,user_002|user_030|user_096,0.80|0.07|0.14,8552.49|731.71|1467.67,6316.65|2015.22|2420.00,3583.96|3583.96|3583.96,equal,0.828
9566892d-03ba-4b14-8411-3df9dd3a07a7,group_188,space,7776.9,user_087|user_091,0.71|0.29,5525.26|2251.64,4788.70|2988.20,3888.45|3888.45,nucleolus,0.788
a5c62946-edcb-44fc-9dea-743eef08e963,group_242,tool,18348.55,user_015|user_026|user_053|user_096|user_098,0.01|0.08|0.79|0.00|0.13,122.34|1416.69|14421.06|67.19|2321.27,1718.65|2430.55|9582.95|1688.32|2928.07,3669.71|3669.71|3669.71|3669.71|3669.71,nucleolus,0.848
3d09abe7-f5e1-407d-9dc4-7d4af378955c,group_070,space,16675.71,user_044|user_052|user_055|user_074|user_088|user_095,0.17|0.25|0.22|0.05|0.26|0.06,2765.12|4091.27|3667.75|882.50|4327.93|941.14,2771.49|3500.88|3267.94|1736.05|3631.04|1768.30,2779.28|2779.28|2779.28|2779.28|2779.28|2779.28,equal,0.866
9032546e-e8a5-4811-b8d9-49dde2f82e06,group_065,vehicle,12192.57,user_081|user_098,0.22|0.78,2717.69|9474.88,4238.06|7954.51,6096.28|6096.28,equal,0.876
0a57d60e-e6f8-4374-a1d4-6d03185219dc,group_149,tool,7715.14,user_015|user_023|user_046|user_053|user_065|user_085|user_095,0.18|0.33|0.19|0.15|0.02|0.08|0.05,1415.20|2552.98|1446.29|1133.54|132.72|618.58|415.83,1274.33|1900.11|1291.43|1119.42|568.97|836.19|724.68,1102.16|1102.16|1102.16|1102.16|1102.16|1102.16|1102.16,shapley,1.0
9a1d9e1d-6bf4-465a-be7d-052e69237486,group_062,space,1175.4,user_057|user_092,0.07|0.93,84.47|1090.93,310.92|864.48,587.70|587.70,shapley,1.0
7ab4768f-95ec-4126-a323-c186346a5e0f,group_036,accommodation,12221.1,user_006|user_027|user_036|user_037|user_096|user_099,0.07|0.32|0.15|0.23|0.10|0.13,888.99|3962.72|1775.41|2819.45|1243.32|1531.21,1405.53|3096.08|1893.06|2467.28|1600.41|1758.75,2036.85|2036.85|2036.85|2036.85|2036.85|2036.85,nucleolus,0.82
2b3f203a-b8ce-4d72-b607-2c679ff5fb3a,group_064,tool,10957.56,user_001|user_062|user_069|user_070|user_094,0.27|0.09|0.51|0.13|0.01,2936.02|940.22|5548.17|1426.59|106.55,2600.99|1503.30|4037.67|1770.81|1044.78,2191.51|2191.51|2191.51|2191.51|2191.51,shapley,1.0
d11286e0-7213-4c57-ba51-78363e6800e7,group_223,accommodation,7714.25,user_014|user_083|user_090,0.26|0.05|0.70,1973.71|371.03|5369.51,2242.68|1361.20|4110.37,2571.42|2571.42|2571.42,nucleolus,0.822
40269520-d0e3-4028-9236-ef05afeade3e,group_481,space,14779.09,user_062|user_067|user_080|user_083|user_093,0.36|0.28|0.05|0.00|0.30,5255.51|4206.90|789.44|26.60|4500.64,4220.65|3643.91|1764.31|1344.75|3805.47,2955.82|2955.82|2955.82|2955.82|2955.82,shapley,1.0
5e54b3d0-7536-4a58-8166-a5aa206564d8,group_373,subscription,14294.64,user_042|user_045|user_052|user_075|user_076|user_090,0.06|0.34|0.33|0.19|0.03|0.05,796.91|4848.79|4724.60|2733.74|497.27|693.34,1510.40|3738.93|3670.63|2575.65|1345.60|1453.43,2382.44|2382.44|2382.44|2382.44|2382.44|2382.44,equal,0.885
766a3121-36f2-4b10-92e7-6d384a355f52,group_433,space,19987.03,user_010|user_052|user_076|user_085,0.58|0.12|0.06|0.25,11587.83|2318.79|1129.86|4950.55,8621.85|3523.87|2869.96|4971.34,4996.76|4996.76|4996.76|4996.76,equal,0.78
0b39c559-9c55-49de-84c4-0e6090d56712,group_147,subscription,19654.6,user_029|user_083,0.70|0.30,13717.39|5937.21,11966.85|7687.75,9827.30|9827.30,nucleolus,0.816
206390b0-aa0a-45ae-9cf4-d734245cddfa,group_356,subscription,6134.06,user_043|user_065|user_097,0.44|0.05|0.50,2723.93|329.89|3080.24,2418.27|1101.55|2614.24,2044.69|2044.69|2044.69,shapley,1.0
2f27c7a1-b888-4d25-b6bb-7007c153781c,group_223,accommodation,13131.6,user_001|user_049|user_067|user_082|user_092,0.52|0.02|0.08|0.23|0.15,6771.80|221.67|1072.92|3082.34|1982.87,4906.33|1303.76|1771.95|2877.13|2272.42,2626.32|2626.32|2626.32|2626.32|2626.32,shapley,1.0
e31d2074-b220-41b8-bbff-6396ea270604,group_187,tool,18906.17,user_029|user_048|user_057|user_079|user_081,0.25|0.25|0.09|0.07|0.34,4648.21|4719.11|1734.18|1352.96|6451.71,4258.07|4297.06|2655.35|2445.69|5250.00,3781.23|3781.23|3781.23|3781.23|3781.23,equal,0.851
6bee19d1-acdf-486b-8935-05cea222ec6a,group_141,tool,19567.38,user_037|user_059|user_091|user_093,0.24|0.30|0.36|0.10,4752.62|5772.82|6993.39|2048.55,4815.27|5376.38|6047.70|3328.03,4891.85|4891.85|4891.85|4891.85,shapley,1.0
a152d192-38ec-401b-9258-dd4649f7e4cb,group_269,accommodation,11475.83,user_007|user_049|user_073,0.21|0.48|0.31,2387.11|5489.40|3599.32,3034.28|4740.55|3701.00,3825.28|3825.28|3825.28,nucleolus,0.887
588e90ed-50a7-4e97-9cbb-e48c1940d556,group_416,tool,11084.09,user_013|user_038|user_086,0.24|0.32|0.44,2680.09|3517.11|4886.89,3136.66|3597.03|4350.40,3694.70|3694.70|3694.70,shapley,1.0
188a88b5-2726-411a-85b2-555a097f70f8,group_017,subscription,18994.97,user_004|user_017|user_035|user_098,0.22|0.26|0.05|0.47,4245.44|4847.08|1015.82|8886.62,4471.93|4802.83|2695.64|7024.58,4748.74|4748.74|4748.74|4748.74,equal,0.921
b3ad5c68-62c9-4a4b-9d3c-ffdb0b909193,group_293,subscription,16608.04,user_013|user_018|user_094|user_099,0.02|0.35|0.44|0.19,340.93|5836.18|7286.25|3144.67,2055.92|5078.31|5875.84|3597.98,4152.01|4152.01|4152.01|4152.01,shapley,1.0
fc8696c0-8e70-43b9-8180-be9b5ee31682,group_214,accommodation,9885.05,user_022|user_058|user_073,0.93|0.03|0.04,9176.14|318.06|390.85,6529.63|1657.69|1697.72,3295.02|3295.02|3295.02,equal,0.95
059cbe81-1379-49bd-adda-96ae0eb946e1,group_485,tool,9533.71,user_009|user_012|user_027|user_035|user_071,0.38|0.10|0.03|0.16|0.33,3647.49|941.92|286.61|1557.94|3099.74,2864.16|1376.09|1015.67|1714.90|2562.89,1906.74|1906.74|1906.74|1906.74|1906.74,equal,0.76
cfbadc33-ea45-47bb-8a43-cb7dcc336698,group_048,space,5242.19,user_002|user_003|user_010|user_018|user_019|user_083|user_093,0.06|0.25|0.02|0.01|0.19|0.20|0.26,325.87|1307.17|119.58|71.13|1015.89|1042.70|1359.87,516.23|1055.94|402.77|376.12|895.74|910.48|1084.92,748.88|748.88|748.88|748.88|748.88|748.88|748.88,equal,0.861
5a1c2de4-8b9a-4c96-9044-61b41837ba1c,group_308,tool,14865.55,user_025|user_040|user_097,0.23|0.65|0.13,3350.90|9635.26|1879.39,4072.83|7529.23|3263.50,4955.18|4955.18|4955.18,equal,0.779
f3663f0a-a22c-4e38-9cf1-101370e1e539,group_233,tool,7944.07,user_011|user_022|user_023|user_055|user_060|user_093,0.13|0.53|0.11|0.19|0.03|0.01,1040.80|4231.44|842.87|1542.39|218.04|68.52,1168.24|2923.10|1059.39|1444.12|715.73|633.49,1324.01|1324.01|1324.01|1324.01|1324.01|1324.01,nucleolus,0.814
7c65bc5c-7ca6-475e-a651-0eac6ac2ea6f,group_348,accommodation,1549.23,user_017|user_020|user_050|user_058|user_065|user_080|user_084,0.44|0.24|0.16|0.07|0.03|0.02|0.04,682.69|375.42|247.26|109.20|39.52|35.33|59.81,475.07|306.07|235.59|159.66|121.33|119.02|132.49,221.32|221.32|221.32|221.32|221.32|221.32|221.32,nucleolus,0.773
d41a61fd-ae7a-4bc7-9581-1831ca738a9d,group_309,vehicle,10874.0,user_006|user_007|user_041|user_062|user_073,0.12|0.19|0.16|0.05|0.47,1321.47|2079.50|1790.16|544.67|5138.19,1705.47|2122.39|1963.25|1278.23|3804.66,2174.80|2174.80|2174.80|2174.80|2174.80,nucleolus,0.898
17c3f276-722b-4bdf-a3c9-bc991be3c0f4,group_411,vehicle,3672.57,user_037|user_038|user_057,0.43|0.26|0.31,1589.78|959.59|1123.20,1425.27|1078.66|1168.64,1224.19|1224.19|1224.19,equal,0.847
d68d9878-265a-4a29-9e8e-88fe6b0e9459,group_050,vehicle,7780.72,user_048|user_062|user_073|user_091,0.20|0.11|0.16|0.53,1575.43|824.32|1274.19|4106.78,1741.82|1328.71|1576.14|3134.06,1945.18|1945.18|1945.18|1945.18,shapley,1.0
d7976a2a-bb51-4619-a528-6137b7038215,group_460,vehicle,18007.05,user_015|user_034,0.11|0.89,1893.46|16113.59,5092.99|12914.06,9003.52|9003.52,equal,0.901
700c1cff-7b9b-44b3-86c4-7af2a31749c0,group_070,space,7192.6,user_016|user_074|user_087,0.02|0.02|0.96,167.45|147.85|6877.30,1170.99|1160.21|4861.41,2397.53|2397.53|2397.53,nucleolus,0.783
3c5badf7-7546-4ccb-8141-906437062e23,group_275,space,17564.94,user_016|user_029|user_039,0.62|0.33|0.05,10888.58|5754.63|921.74,8623.46|5799.79|3141.70,5854.98|5854.98|5854.98,shapley,1.0
e263e13a-cb5e-45d8-b156-6e2813e4d0bb,group_391,tool,8696.57,user_017|user_031|user_036|user_049|user_060|user_088|user_096,0.15|0.14|0.04|0.13|0.11|0.21|0.22,1292.98|1225.96|363.51|1087.30|971.55|1828.52|1926.74,1270.21|1233.34|758.99|1157.08|1093.42|1564.75|1618.77,1242.37|1242.37|1242.37|1242.37|1242.37|1242.37|1242.37,shapley,1.0
e2e1511a-9c1d-44e9-8dc1-a80d0bf7d8ed,group_205,accommodation,2973.77,user_048|user_064|user_066|user_067|user_083,0.01|0.11|0.24|0.17|0.47,33.30|337.19|706.24|502.45|1394.59,285.96|453.09|656.07|543.99|1034.66,594.75|594.75|594.75|594.75|594.75,shapley,1.0
3047440a-661f-4919-a145-95c864278e32,group_259,accommodation,6233.02,user_011|user_029|user_062|user_063|user_083|user_089,0.33|0.05|0.02|0.32|0.01|0.27,2053.67|339.78|139.81|1964.68|51.33|1683.76,1596.99|654.35|544.37|1548.05|495.71|1393.54,1038.84|1038.84|1038.84|1038.84|1038.84|1038.84,equal,0.905
dfbdccba-75ba-4d4a-9f87-06f52f513efd,group_388,vehicle,12317.04,user_036|user_050|user_064|user_079,0.54|0.16|0.09|0.20,6678.05|2030.93|1164.58|2443.48,5058.59|2502.68|2026.19|2729.58,3079.26|3079.26|3079.26|3079.26,nucleolus,0.916
ddefe5d2-8bf0-434e-85df-ddb816d79436,group_216,accommodation,774.17,user_009|user_015|user_050|user_069,0.13|0.17|0.60|0.10,100.37|129.17|464.74|79.90,142.30|158.14|342.70|131.04,193.54|193.54|193.54|193.54,nucleolus,0.896
83ed7f39-51ab-4961-836f-e8620fe55f7b,group_222,tool,5096.05,user_002|user_020|user_035|user_051|user_069|user_095,0.54|0.39|0.04|0.01|0.02|0.00,2749.94|1995.38|184.42|60.84|89.91|15.56,1894.67|1479.66|483.64|415.67|431.65|390.76,849.34|849.34|849.34|849.34|849.34|849.34,shapley,1.0
5cb7f9d2-e512-403c-99c5-23f2de1b77f3,group_211,accommodation,19629.37,user_025|user_060,0.08|0.92,1560.26|18069.11,5274.75|14354.62,9814.68|9814.68,equal,0.8
bd71d423-5186-4362-984c-fa49f3fb868f,group_451,subscription,9954.93,user_006|user_039|user_048,0.03|0.17|0.80,316.67|1647.30|7990.96,1667.41|2399.25|5888.27,3318.31|3318.31|3318.31,shapley,1.0
e04a1cef-0d34-40f8-ad65-cf9cb6385436,group_401,space,1940.28,user_032|user_053|user_069|user_075|user_086|user_087|user_100,0.00|0.26|0.05|0.02|0.19|0.15|0.33,7.08|506.83|99.61|37.83|358.99|298.28|631.65,128.63|403.49|179.52|145.54|322.17|288.79|472.14,277.18|277.18|277.18|277.18|277.18|277.18|277.18,nucleolus,0.952
cbda53d1-4c49-4cb9-9416-80c90a1e426c,group_333,subscription,8214.06,user_004|user_016|user_069,0.40|0.50|0.10,3319.72|4066.25|828.08,3057.96|3468.55|1687.55,2738.02|2738.02|2738.02,shapley,1.0
af9f8659-cae4-44e2-9caf-1e243fe8af9a,group_004,subscription,18625.39,user_018|user_030|user_032|user_033|user_034|user_047|user_075,0.02|0.13|0.16|0.45|0.05|0.04|0.14,350.48|2491.78|2950.13|8355.85|954.68|834.77|2687.71,1390.11|2567.83|2819.92|5793.06|1722.42|1656.47|2675.59,2660.77|2660.77|2660.77|2660.77|2660.77|2660.77|2660.77,nucleolus,0.826
5a0b20fc-d7b4-4092-a389-4270eca7371a,group_379,space,15334.8,user_010|user_021,0.14|0.86,2070.23|13264.57,4588.96|10745.84,7667.40|7667.40,equal,0.775
4d796ae7-9eab-409f-a117-4267fffea19b,group_203,tool,17831.38,user_009|user_016|user_019|user_056|user_080|user_092,0.25|0.07|0.18|0.18|0.01|0.30,4499.54|1289.80|3198.93|3233.11|250.52|5359.49,3812.10|2046.74|3096.77|3115.56|1475.14|4285.07,2971.90|2971.90|2971.90|2971.90|2971.90|2971.90,equal,0.813
4956d879-e056-4f7b-b5f5-697a8350e764,group_122,subscription,4685.28,user_004|user_005|user_006|user_018|user_026|user_034|user_083,0.09|0.22|0.05|0.28|0.06|0.00|0.30,414.13|1030.66|227.01|1329.30|290.12|6.41|1387.63,528.97|868.06|426.05|1032.31|460.77|304.72|1064.40,669.33|669.33|669.33|669.33|669.33|669.33|669.33,nucleolus,0.892
68233435-e003-4f56-a1e7-7ff032158659,group_455,accommodation,17844.26,user_049|user_091,0.20|0.80,3555.84|14288.42,5970.67|11873.59,8922.13|8922.13,equal,0.728
b47f0321-e034-4408-8510-671167e0362b,group_071,vehicle,5976.86,user_009|user_016|user_019|user_054|user_097,0.35|0.36|0.10|0.12|0.07,2119.53|2127.29|602.55|706.68|420.81,1703.66|1707.93|869.32|926.59|769.36,1195.37|1195.37|1195.37|1195.37|1195.37,shapley,1.0
